id;category_ids;nutrition_facts;amount;price;restaurant_id;ingredients;type;name
36;;;394;113;6;Fish:210,breadcrumbs:10,egg:5,wheat flour:4,lemon:10,parsley:5;0;Deep-fried zurich fish
37;1,4;;200;31;5;Orechietti:120,pumpkin squash:60,pumpkin seed oil:10,butter:10,;0;Organic Orechiette with squash
38;;;290;100;1;bread:200,pastrami:80,butter:10,;0;Pastrami Sandwich
39;4;;300;59;2;bread:200,brie cheese:80,butter:10,rucola:10,;0;Brie Sandwich
40;4;;145;51;3;Chicory:100,broth:5,sugar:10,potato:20,canola oil:10,;2;Caramelised chicory soup
41;1;;365;163;3;beef:210,rice:80,kale:50,sesame seeds:5,soy sauce:10,canola oil:10;0;Sliced Beef with Rice
42;4;;190;65;5;wheat flour:60,egg:30,porcini mushrooms:50,rocket salad:50,;0;Cannelloni stuffed with porcini and rocket
43;1,3,4;;390;107;3;Tofu:200,potato:120,artichokes:40,canola oil:10,thyme:5,rosmary:5;0;Tofu escalope
44;4;;185;78;2;Kohlrabi:120,cream:50,broth:5,canola oil:10,;2;Kohlrabi cream soup
45;;;450;119;4;veal:210,wheat flour:80,semolina:80,egg:30,green beans:50,;0;Roasted Veal
46;;;310;110;2;chicken:120,coconut milk:160,soy sauce:10,chili:10,ginger:5,broth:5;2;Thai Coconut Chicken soup
47;2,4;;325;66;2;Potato:200,egg:50,Milk:40,truffle:10,butter:10,cream:10;0;Potato pudding with egg
48;;;320;73;5;chicken:180,zucchini:50,aubergine:20,carrot:30,canola oil:10,tomato:30;0;Chicken and Vegetable ragout
49;3,4;;285;91;4;carrot:100,coconut milk:150,onion:10,canola oil:10,garlic:5,parsley:5;2;Carrot and coconut soup
50;;;460;220;3;beef sausage:210,potato:180,brussel sprouts:60,butter:10,;0;Bratwurst with Rosti
51;;;450;62;6;Fish fillet:210,tomato:100,aubergine:80,canola oil:10,zucchini:50,;0;Sea Bass Fillet
52;4;;230;111;4;aubergine:100,wheat flour:80,parmesan cheese:10,butter:10,egg:30,;2;aubergine Ravioli
53;4;;210;85;2;coconut milk:150,broth:5,onion:10,potato:20,curry spice:5,yoghurt:20;2;Curry soup with yoghurt
54;;;380;61;6;beef:180,egg:30,wheat flour:50,quark:50,red cabbage:50,chestnuts:20;0;Meat Stew with Spaetzli
55;;;310;93;3;rice:180,beef:50,carrot:10,leek:10,soy sauce:10,egg:30;0;Nasi goreng
56;4;;135;49;4;parsnip:40,potato:40,tomato sugo:40,broth:5,canola oil:10,;2;Oriental vegetable soup
57;1;;384;84;4;chicken:210,rice:100,saffron:4,canola oil:10,parmesan cheese:30,white wine:20;0;Chicken with saffron rice
58;;;450;136;4;fish fillet:210,spinach:50,ricotta chese:50,wheat flour:50,egg:30,butter:10;0;Gilt-head bream with vegetables and ravioli
59;1,4;;209;24;3;egg:50,vegetable oil:10,red onion:10,garlic:10,ginger:5,carrots:40;0;Kottu Roti
60;4;;400;166;5;bread:200,goat cheese:80,pumpkin:80,butter:10,rucola:10,strawberry:20;0;Pumpkin and goat cheese sandwich
61;;;360;173;2;beef:140,macaroni:120,apple:50,cream:30,cheese:20,;0;Minced Beef Macaroni
62;2;;225;90;1;celery:90,broth:5,pears:40,potato:40,canola oil:10,cream:30;2;Celery soup with pears
63;;;485;83;6;veal:210,polenta:130,olives:20,swiss chard:80,rosmary:10,canola oil:10;0;Veal Ragout with polenta
64;2;;450;216;6;pork sausage:210,potato:150,leek:60,butter:20,onion:10,;2;Potatoes, leek and sausage
65;4;;390;45;2;wheat flour:100,egg:30,milk:80,spinach:100,tomato:80,;0;Lasagne with spinach
66;4;;250;85;3;pasta:120,tomato:50,feta:40,olive:20,olive oil:10,zucchini:10;2;Pasta salad
67;3,4;;220;59;5;Mushrooms:120,broth:10,carrots:20,parsnips:30,red bell peppers:30,canola oil:10;2;Mushroom broth with vegeatables
68;1;;390;117;5;Pork:120,egg:5,breadcrumbs:10,wheat wheat flour:5,potato:150,sugar:10;1;Breaded Pork Escalope
69;1,2;;420;95;3;Fish fillet:210,canola oil:20,rice:80,chorizo:50,fennel:50,parsley:10;0;Fried Fillet of Zander
70;3,4;;320;76;3;beetroot:180,canola oil:10,miso:10,glass noodles:100,ginger:10,soy sauce:10;2;Crispy Organic Beetroot and Miso
71;2,4;;325;75;1;Kohlrabi:200,cream:50,vanilla:5,passion fruit:40,canola oil:10,potato:20;2;Kohlrabi Soup with passion fruit
72;;;440;57;4;beef:210,oyster sauce:40,rice:80,broccoli:100,canola oil:10,;0;Beef with oyster sauce
73;;;305;67;6;wheat flour:100,egg:50,parmesan:50,pancetta:50,cream:30,butter:10;0;Rigatoni
74;;;229;26;2;Rigatoni:120,sour cream:40,tomato puree:10,garlic:4,cherry tomatoes:40,Parmesan cheese:15;0;Rigatoni Cinque Pi
75;4;;205;91;7;cauliflower:100,cream:40,canola oil:10,broth:5,pumpkin seeds:40,onion:10;2;Cauliflower cream soup
76;1;;480;233;4;Chicken:210,polenta :100,mustard:10,tarragon:10,potato:80,green beans:50;2;Ribelmais Chicken Drumsticks
77;1,4;;230;90;1;rigatoni:120,canola oil:10,chili:20,red bell pepper:30,tomato sugo:50,;0;Rigatoni all'arrabbiata
78;1,3,4;;355;86;6;chickpeas:120,broth:5,coconut milk:100,pumpkin:40,cauliflower:30,spinach:20;0;Chickpea curry with vegetables
79;;;240;116;3;Salmon:120,wheat flour:50,lettuce:50,mayonnaise:10,canola oil:10,;0;Smoked Salmon Wrap
80;4;;189;22;1;Apple:100,cheese:50,hazelnuts:20,broth:5,olive oil:10,parsley:4;2;Apple and cheese soup with nuts
81;;;504;58;7;Lamb :210,semolina:140,kale:100,canola oil:20,olives:30,thyme:4;0;Leg of Lamb iwth semolina slices
82;;;539;189;6;Trout fish:210,leek:80,potato:120,beetroot:80,horseradish:20,broth:5;0;Trout with leek and potato ragout
83;3,4;;330;69;3;Tofu:180,miso:10,ginger:10,rice:80,zucchini:40,soy sauce:10;0;Tofu with vegetables
84;4;;300;130;4;wheat flour:50,milk:30,feta cheese:70,aubergine:30,zucchini:40,carrots:30;0;Vegetables and Feta wrap
85;4;;145;55;3;leek:20,celery :20,pumpkin:20,parsnips:20,broth:5,cream:50;2;Vegetable cream soup
86;;;530;64;5;veal:210,potato:140,parsley:20,lemon:10,garlic:10,swiss chard:120;0;Roast Veal with potatoes
87;1;;385;66;6;shrimps:100,udon noodles:120,spring onions:30,leak :20,coriander:5,cabbage:40;0;Pan-fried noodles with shrimps
88;4;;220;81;6;wheat flour:80,cheese:40,mushrooms:50,rocket salad:30,tomoto sugo:20,;0;Pizza with mushrooms and rocket salad
89;;;600;144;3;chicken:210,bread:100,cabbage:80,yoghurt:30,pancetta:20,potato:80;0;Crispy chicken steak
90;;;410;96;7;bread:200,tuna fish:150,mayonnaise:40,butter:10,lettuce:10,;0;Tuna Sandwich
91;2,4;;189;46;5;banana:100,broth:5,chili:20,cream:50,parsely:4,canola oil:10;2;Banana chili soup
92;;;520;158;5;beef:180,tomato paste:60,onions:60,paprika:5,garlic:5,canola oil:10;0;Beef goulash
93;4;;340;34;3;pasta:120,cream:40,milk:20,cheese:50,apple sause:80,onions:20;0;Alpine Macaroni
94;1,3,4;;335;153;5;kidney beans:60,tomato sugo:60,red bell pepper:60,corn:60,rice:80,canola oil:10;0;Chili con verdure
95;1,3,4;;270;60;6;quinoa:160,spring onions:20,leek:20,red bell pepper:20,tomato:20,canola oil:10;2;Quinoa salad
96;1,2,3,4;;110;24;1;carrot:20,onion:10,leek:10,mushroom:40,parsnip:10,chili:10;2;Vegetable soup
97;;;405;199;4;pork:130,ham:40,sage leaves:10,olive oil:10,broth:5,rice:100;0;Pork with carnaroli risotto
98;;;480;150;1;salmon fish:180,carrots:50,fettuccine:100,pine nuts:10,broccoli:80,Parmesan cheese:30;0;Salmon with Fettucine
99;;;520;73;6;pork:150,potato:120,red bell pepper:80,carrot:80,parsnip:50,onion:20;0;Vegetable and potato stew with pork
100;4;;270;98;5;lettuce:120,almonds:20,mustard:10,tomato:50,cucumber:20,anchovy:50;2;Salad mith anchovy and nuts
101;1,2,3,4;;180;54;6;honeydew melon:150,broth:5,lemon:20,parsley:5,;2;Chilled melon soup
102;;;445;80;2;pork:130,ham:40,spinach:50,olive oil:10,broth:5,rice:100;0;Pork with spinach risotto
103;4;;370;102;7;wheat flour:100,egg:40,mozarella cheese:100,tomatoes:100,butter:10,canola oil:10;0;Ravioli Caprese
104;2,4;;575;238;6;Tofu:160,coconut milk:120,curry spice:5,rice:80,carrot:50,aubergine:50;0;Tofu curry with Tomato
105;4;;130;21;3;leek:20,celery :20,curry spice:5,zucchini:20,broth:5,cream:50;2;Vegetable cream soup with curry
106;;;570;110;5;beef:180,tomato paste:60,onions:60,paprika:5,garlic:5,canola oil:10;0;Beef goulash with yoghurt spätzli and carrots
107;2;;500;208;1;Fish:200,potato:80,chickpeas:60,aubergine:60,garlic:10,walnuts:30;0;Pan-fried fish fillet with roasted vegetables
108;4;;360;173;1;black beans:100,kidney beans:60,red bell peppers:60,tomato sugo:50,wheat flour:50,cream:20;0;Mexican Bean raout
109;1,3,4;;370;58;3;bread:200,chickpeas:80,lemon juice:10,tahini:10,olive oil:10,carrots:30;2;Hummus sandwhich
110;4;;308;111;3;wheat flour:100,potato:100,saffron:3,parsley:5,spring onions:20,canola oil:10;2;Potato Gnocchi with vegetables
111;2,4;;205;42;6;peas:100,broth:5,onions:20,parsnip:20,canola oil:10,milk:50;2;Pea soup
112;1,2;;490;161;5;Lamb :210,potato:180,palm oil:20,green beans:80,;0;Roasted Lamb with baked potatoes
113;1,2,4;;220;30;3;rice:120,egg:30,onion:20,chili:10,carrots:20,soybean:20;0;Fried Rice with vegetables
114;2,4;;350;132;2;cauliflower:180,potato:20,cucumber:50,poppadoms:50,tomato:50,;2;Tandori cauliflower
115;1,2,3,4;;260;69;4;lentils:60,lettuce:100,papaya:50,oats:10,peanuts:10,peach:10;2;Salad with papaya and peach
116;;;185;27;6;celery:120,broth:5,milk:20,cashew nuts:20,onions:10,canola oil:10;2;Celery cream soup with cashew nuts
117;;;460;154;4;chicken:180,spaghetti:100,cream:50,egg:10,breadcrumbs:10,brocolli:100;0;Chicken piccata with spaghetti
118;3,4;;430;93;7;black beans:50,mushrooms:20,peas:50,wheat flour:150,potato:120,canola oil:20;0;Vegan burger
119;4;;305;118;7;wheat flour:100,cream:50,spinach:50,oats:30,ricotta chease:50,butter:20;0;Spinach and ricotta tortellini
120;;;340;156;4;quinoa:120,chili:20,castor beans:20,palm oil:10,wheat flour:100,tomato:50;0;Quinoa chili burger
121;1,2,3,4;;110;18;3;onion:60,potato:20,canola oil:10,oats:20,;2;Onion soup
122;;;500;61;3;veal:180,wheat flour:100,chantarelle mushrooms:100,zucchini:80,olive oil:20,egg:20;0;Veal with chantarelles and fetuccine
123;;;340;118;6;sea bass fish:190,rice:80,ginger:10,coconut milk:50,canola oil:10,;0;Fillet of Sea-bass with rice
124;;;370;130;3;beef:180,red bell pepper:100,butter:10,tomato:60,chili:10,canola oil:10;0;Cevapcici with ajvar
125;;;230;76;4;red cabbage:80,lettuce:80,mandarin:20,mustard:10,olive oil:10,celery:10;2;Fresh salad
